C1;22-10-2013;0:00:00;0;
C1;22-10-2013;0:13:00;4;911111111
C1;22-10-2013;0:30:00;4;933333333
C1;22-10-2013;0:30:00;8;911111111
C1;22-10-2013;1:08:00;4;922222222
C1;22-10-2013;1:40:00;2;922222222
C1;22-10-2013;1:43:00;2;911111111
C1;22-10-2013;2:02:00;2;933333333
C1;22-10-2013;2:29:00;8;911111111
C1;22-10-2013;2:50:45;8;922222222
C1;22-10-2013;2:56:00;6;933333333
C1;22-10-2013;3:12:30;8;911111111
C1;22-10-2013;3:29:00;7;933333333
C1;22-10-2013;3:48:45;8;922222222
C1;22-10-2013;3:56:00;6;922222222
C1;22-10-2013;4:08:30;8;911111111
C1;22-10-2013;4:21:00;7;922222222
C1;22-10-2013;4:28:15;8;933333333
C1;22-10-2013;4:35:30;8;911111111
C1;22-10-2013;4:42:45;8;922222222
C1;22-10-2013;4:50:00;6;933333333
C1;22-10-2013;5:14:30;8;911111111
C1;22-10-2013;5:26:45;8;911111111
C1;22-10-2013;5:39:00;7;933333333
C1;22-10-2013;5:42:15;8;922222222
C1;22-10-2013;6:05:30;8;911111111
C1;22-10-2013;6:32:00;6;933333333
C1;22-10-2013;6:42:15;8;922222222
C1;22-10-2013;6:59:00;8;911111111
C1;22-10-2013;7:26:00;7;933333333
C1;22-10-2013;7:42:15;8;922222222
C1;22-10-2013;7:52:30;8;911111111
C1;22-10-2013;8:19:00;5;922222222
C1;22-10-2013;8:24:00;8;933333333
C1;22-10-2013;8:42:00;8;911111111
C1;22-10-2013;8:42:15;8;922222222
C1;22-10-2013;9:05:00;6;933333333
C1;22-10-2013;9:06:00;7;933333333
C1;22-10-2013;9:10:00;6;933333333
C1;22-10-2013;9:12:00;7;933333333
C1;22-10-2013;9:17:00;3;911111111
C1;22-10-2013;9:42:15;8;922222222
C1;22-10-2013;10:13:00;6;933333333
C1;22-10-2013;10:18:00;7;933333333
C1;22-10-2013;10:42:15;8;922222222
C1;22-10-2013;11:07:00;8;933333333
C1;22-10-2013;11:31:00;8;933333333
C1;22-10-2013;11:42:15;8;922222222
C1;22-10-2013;12:29:00;8;933333333
C1;22-10-2013;12:42:15;8;922222222
C1;22-10-2013;13:29:00;8;933333333
C1;22-10-2013;13:42:15;8;922222222
C1;22-10-2013;14:12:15;2;955555555
C1;22-10-2013;14:17:15;8;933333333
C1;22-10-2013;14:42:15;8;922222222
C1;22-10-2013;14:50:00;6;955555555
C1;22-10-2013;14:55:00;8;933333333
C1;22-10-2013;15:00:00;8;933333333
C1;22-10-2013;15:42:00;7;955555555
C1;22-10-2013;15:42:15;8;922222222
C1;22-10-2013;16:00:00;8;933333333
C1;22-10-2013;16:13:00;8;955555555
C1;22-10-2013;16:42:15;8;922222222
C1;22-10-2013;16:56:00;6;955555555
C1;22-10-2013;17:00:00;8;933333333
C1;22-10-2013;17:09:00;7;955555555
C1;22-10-2013;17:42:15;8;922222222
C1;22-10-2013;17:43:00;6;955555555
C1;22-10-2013;18:00:00;8;933333333
C1;22-10-2013;18:01:00;8;955555555
C1;22-10-2013;18:02:00;8;922222222
C1;22-10-2013;18:13:00;7;955555555
C1;22-10-2013;19:00:00;8;933333333
C1;22-10-2013;19:01:00;8;955555555
C1;22-10-2013;19:02:00;8;922222222
C1;22-10-2013;20:00:00;8;933333333
C1;22-10-2013;20:01:00;8;955555555
C1;22-10-2013;20:02:00;8;922222222
C1;22-10-2013;20:35:00;6;955555555
C1;22-10-2013;21:00:00;8;933333333
C1;22-10-2013;21:01:00;8;955555555
C1;22-10-2013;21:02:00;8;922222222
C1;22-10-2013;21:02:00;7;955555555
C1;22-10-2013;22:00:00;8;933333333
C1;22-10-2013;22:01:00;8;955555555
C1;22-10-2013;22:02:00;8;922222222
C1;22-10-2013;22:15:00;6;922222222
C1;22-10-2013;23:00:00;8;933333333
C1;22-10-2013;23:01:00;8;955555555
C1;22-10-2013;23:02:00;8;922222222
C1;22-10-2013;23:07:00;7;922222222
